Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;05.12.2018 09:49:38;680030,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Ленина ул элем. улично-дорожн.сети,,д. 44, , , ,;0002835669035020;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0392130007014512;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011814;272301001;0;2;2;2;2;2;2;2;2;2;оптика;2
9965;25.10.2018 06:51:55;684090,РОССИЯ,41,Камчатский край, ,Вилючинск г , , ,Мира ул элем. улично-дорожн.сети,,д. 11, , , ,;0002760069007109;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0200640002041438;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011987;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;25.10.2018 01:29:35;684093,РОССИЯ,41,Камчатский край, ,Вилючинск г , , ,Нахимова ул элем. улично-дорожн.сети,,д. 22А, , , ,;0002744245003502;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0014300002055734;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011904;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;;683023,РОССИЯ,41,Камчатский край, ,Петропавловск-Камчатский г г.п., , ,Победы пр-кт улично-дорожный элемент,,д 29, , , ,;0002738016035772;ШТРИХ-ФР-01Ф;;Отказ по отчету ФН;0451100002055737;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011835;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;10.10.2018 01:10:04;683006,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский г.о., ,Петропавловск-Камчатский г, ,Победы пр-кт,,д. 29, , , ,;0002737787042592;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0070550002041444;Общество с ограниченной ответственностью «Эвотор ОФД»;9289000100267720;272301001;0;2;2;2;2;2;2;2;2;2;683023 , Петропавловск-Камчатский, пр-кт Победы, д 29;2
9965;10.09.2018 06:23:53;684005,РОССИЯ,41,Камчатский край,Елизовский р-н м.р-н.,Елизово г , , ,Магистральная ул элем. улично-дорожн.сети,,д. 64, , , ,;0002617684018757;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0282080002041428;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011832;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;08.09.2018 07:01:25;684000,РОССИЯ,41,Камчатский край,Елизовский р-н м.р-н.,Елизово г , , ,Ленина ул элем. улично-дорожн.сети,,д. д 5а, , , ,;0002617101001979;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0531360002041403;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011978;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;13.07.2018 11:52:12;680030,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Ленина ул элем. улично-дорожн.сети,,д. 44, , , ,;0002542760047268;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0585570007012567;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011823;272301001;0;2;2;2;2;2;2;2;2;2;опитка;2
9965;13.07.2018 09:49:46;680007,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Краснореченская ул элем. улично-дорожн.сети,,д. 193, , , ,;0002541602032931;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0588600007012564;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011944;272301001;0;2;2;2;2;2;2;2;2;2;отпика;2
9965;;680014,РОССИЯ,27,Хабаровский край, ,Хабаровск г г.п., , ,ДОС (Большой Аэродром) кв-л улично-дорожный элемент,,д 51, , , ,;0001753046030212;ШТРИХ-ЛАЙТ-01Ф;;Отказ по отчету ФН;0538760007012570;Общество с ограниченной ответственностью "Ярус";8710000101163221;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
