Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;27.02.2018 11:51:33;625062,РОССИЯ,72,Тюменская область, ,Тюмень г г.п., , ,Дмитрия Менделеева ул элем. улично-дорожн.сети,,д. 1, , , ,;0001681041036172;РР-03Ф;20.01.2023 12:00:00;ККТ перерегистрирована;0490840014002167;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685597;720301001;0;2;2;2;2;2;2;2;2;2;Тюменская обл, г Тюмень, ул Дмитрия Менделеева, д 1  аптека;2
9965;27.02.2018 10:03:29;625022,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Заречный проезд элем. улично-дорожн.сети,,д. 33, , , ,;0001680606044468;РР-03Ф;;ККТ снята с регистрации;0022490014002217;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300697669;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;27.02.2018 09:11:04;625016,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Пермякова ул элем. улично-дорожн.сети,,д. 62, , , ,;0001680399032319;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0635660007012694;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9282000100249388;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;27.02.2018 08:02:20;625053,РОССИЯ,72,Тюменская область, ,Тюмень г г.п., , ,Широтная ул элем. улично-дорожн.сети,,д. 199, , , ,;0001680147013874;РР-03Ф;20.01.2023 12:00:00;ККТ перерегистрирована;0327510014001858;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685509;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;26.02.2018 02:15:11;625033,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Дмитрия Менделеева ул элем. улично-дорожн.сети,,д. 1, , , ,;0001679014007396;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0303850007012700;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9282000100249427;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;26.02.2018 12:49:34;625007,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Мельникайте ул элем. улично-дорожн.сети,,д. 139, , , ,;0001678720029320;РР-03Ф;;ККТ снята с регистрации;0417960014002169;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100249169;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;26.02.2018 10:31:16;625048,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,Профсоюзная ул элем. улично-дорожн.сети,,д. 1, , ,к. 1 к,;0001678215038893;ШТРИХ-МИНИ-01Ф;;ККТ снята с регистрации НО, ожидается отчет;0594530001004871;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;8710000101479870;720301001;0;2;2;2;2;2;2;2;2;2;атпека;2
9965;28.02.2018 09:46:09;625048,РОССИЯ,72,Тюменская область, ,Тюмень г , , ,50 лет Октября ул элем. улично-дорожн.сети,,д. 47, , ,к. 1 сооружение,;0001683011001444;РР-03Ф;;ККТ снята с регистрации НО;0473650014002168;Общество с ограниченной ответственностью «Ярус»;8710000101479868;720301001;0;2;2;2;2;2;2;2;2;2;Аптека;2
9965;16.12.2019 05:39:48;620016,РОССИЯ,66,Свердловская область, ,Екатеринбург г , , ,Академика Сахарова пр-кт элем. улично-дорожн.сети,,д. 107/1 стр, , , ,;0004231087022139;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0062450012131187;Общество с ограниченной ответственностью «Эвотор ОФД»;9288000100011861;720301001;0;2;2;2;2;2;2;2;2;2;Екатеринбург г, Академика Сахарова пр-кт, 107/1 стр аптека;2
9965;28.02.2018 12:04:45;625053,РОССИЯ,72,Тюменская область, ,Тюмень г г.п., , ,Широтная ул элем. улично-дорожн.сети,,д. 199, , , ,;0001683772020010;РР-03Ф;20.01.2023 12:00:00;ККТ перерегистрирована;0391180014002162;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685558;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;;650000,РОССИЯ,42,Кемеровская область - Кузбасс, ,Кемерово г , , ,Ленина пр-кт ,, д 35, , , ,;0001685457028165;РР-03Ф;;Отказ по заявлению;0618310014002160;Общество с ограниченной ответственностью "Ярус";8710000101211272;720301001;0;2;2;2;2;2;2;2;2;2;аптека;
9965;21.07.2021 03:47:43;109316,РОССИЯ,77,Г.Москва,муниципальный округ Печатники вн.тер.г., , , ,Волгоградский пр-кт,,д. 42, , , ,;0005676754016107;АТОЛ 42ФС;02.11.2022 12:00:00;ККТ зарегистрирована;00107700002764;Общество с ограниченной ответственностью «Эвотор ОФД»;9289440300772682;720301001;0;2;2;2;1;1;2;2;2;2;https://superapteka.ru;2
9965;19.06.2019 06:35:21;454028,РОССИЯ,74,Челябинская область,Челябинский г.о.,Советский ,Челябинск г, ,Блюхера ул,,д. 126, , , ,;0002699039052700;РР-03Ф;;ККТ снята с регистрации;0620230014001857;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300838557;720301001;0;2;2;2;2;2;2;2;2;2;454028 г Челябинск, ул Блюхера, д 126 аптека;2
9965;29.05.2018 11:48:53;620016,РОССИЯ,66,Свердловская область, ,Екатеринбург г , , ,Академика Сахарова пр-кт элем. улично-дорожн.сети,,д. 107/1 стр, , , ,;0001908798064968;ШТРИХ-М-01Ф;;ККТ снята с регистрации;0428340006048082;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9282000100249135;720301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;;650000,РОССИЯ,42,Кемеровская область - Кузбасс, ,Кемерово г , , ,Ленина пр-кт ,, 39, , , ,;0001685464037217;РР-03Ф;;Отказ по заявлению;0145470014002199;Общество с ограниченной ответственностью "Ярус";8710000101214364;720301001;0;2;2;2;2;2;2;2;2;2;аптека;
