Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;28.05.2018 12:39:01;660125,РОССИЯ,24,Красноярский край,город Красноярск м.р-н., ,Красноярск г, ,9 Мая ул,,зд. 77, , , ,;0001802535034500;РИТЕЙЛ-01Ф;16.03.2022 12:00:00;ККТ перерегистрирована;0562390012131156;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300935176;540201001;0;2;2;2;2;2;2;2;2;2;г Красноярск, ул 9 Мая, д 77  аптека в ТЦ;2
9965;28.05.2018 12:37:33;660125,РОССИЯ,24,Красноярский край, ,Красноярск г г.п., , ,9 Мая ул элем. улично-дорожн.сети,,д. 77, , , ,;0001802520040830;РИТЕЙЛ-01Ф;16.03.2022 12:00:00;ККТ перерегистрирована;0558840012131183;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300935975;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 11:51:38;660125,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,9 Мая ул элем. улично-дорожн.сети,,д. 62, , , ,;0001802496007886;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0117620012131101;Общество с ограниченной ответственностью «Эвотор ОФД»;9282440300936167;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;01.06.2018 11:28:21;660079,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,60 лет Октября ул ,, 108, , , ,;0001802462034898;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0274330012131137;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100023624;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 01:06:22;660005,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,Металлургов пр-кт ,, 34, , , ,;0001802428019498;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0529220012131194;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100022353;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;11.05.2018 12:01:01;660078,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,60 лет Октября ул ,, 45, , , ,;0001802418024370;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0142300012131160;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100023059;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;08.05.2018 06:14:15;660125,РОССИЯ,24,Красноярский край, ,Красноярск г , , ,9 Мая ул ,, 26, , , ,;0001802397052998;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0301330012131126;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100028166;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;10.04.2018 09:33:35;630091,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Крылова ул ,, 27, , , ,;0001748301061474;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации;0249980002032233;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9282000100022319;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;27.04.2018 12:24:04;633009,РОССИЯ,54,Новосибирская область, ,Бердск г г.п., , ,Микрорайон ул элем. улично-дорожн.сети,,д. 34/2, , , ,;0001746903032190;РР-03Ф;17.03.2023 12:00:00;ККТ перерегистрирована;0302000014003296;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685900;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;16.07.2019 02:18:30;630005,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Фрунзе ул ,, 88, , , ,;0001733153013137;ШТРИХ-М-02Ф;;ККТ снята с регистрации;0315830008040934;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9282000100022864;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.04.2018 12:52:40;630075,РОССИЯ,54,Новосибирская область,город Новосибирск м.р-н., ,Новосибирск г, ,Дуси Ковальчук ул,,д. 398, , , ,;0001714487055454;РР-03Ф;05.04.2023 12:00:00;ККТ перерегистрирована;0299840014002478;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300683969;540201001;0;2;2;2;2;2;2;2;2;2;630075 г Новосибирск, ул Дуси Ковальчук, д 398 аптека;2
9965;21.03.2018 03:44:39;630110,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Учительская ул ,, 20, , , ,;0001713646043292;ШТРИХ-М-02Ф;;ККТ снята с регистрации;0082620008040937;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;8710000101809047;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;21.03.2018 02:45:10;630110,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Учительская ул,,д. 20, , , ,;0001713423037015;АТОЛ FPrint-22ПТК;14.10.2022 12:00:00;ККТ перерегистрирована;00106307353784;Общество с ограниченной ответственностью «Эвотор ОФД»;9288000100024356;540201001;0;2;2;2;2;2;2;2;2;2;630110, г Новосибирск, ул Учительская, д 20, аптека;2
9965;21.03.2018 02:21:19;630049,РОССИЯ,54,Новосибирская область,город Новосибирск г.о., ,Новосибирск г, ,Кропоткина ул,,зд. 130/7, , , ,;0001713289052763;АТОЛ FPrint-22ПТК;03.03.2023 12:00:00;ККТ перерегистрирована;00106307356877;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685795;540201001;0;2;2;2;2;2;2;2;2;2;г Новосибирск, ул Кропоткина, зд 130/7, аптека;2
9965;21.03.2018 09:31:31;632491,РОССИЯ,54,Новосибирская область,Кочковский р-н , ,Кочки с , ,Некрасова ул ,, 4, , , ,;0001711654025424;РР-03Ф;;ККТ снята с регистрации;0505850014002152;Общество с ограниченной ответственностью «Ярус»;9282000100022232;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;21.03.2018 04:32:12;630091,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Мичурина ул ,, 23, , , ,;0001709837038233;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0104250007012721;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9284000100263107;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;21.03.2018 04:33:39;630087,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Немировича-Данченко ул элем. улично-дорожн.сети,,д. 142, , , ,;0001709834029318;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0290400007012638;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9284000100263711;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;21.03.2018 04:55:15;630075,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Богдана Хмельницкого ул элем. улично-дорожн.сети,,д. 4, , , ,;0001708747007213;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0402740007012631;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9284000100263001;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;28.03.2018 07:12:58;633411,РОССИЯ,54,Новосибирская область,Тогучинский р-н м.р-н., ,Горный рп н.п., ,Космическая ул элем. улично-дорожн.сети,,д. 2, , , ,;0001708695053101;РР-03Ф;16.03.2023 12:00:00;ККТ перерегистрирована;0137600014003040;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685264;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;21.03.2018 04:57:04;630005,РОССИЯ,54,Новосибирская область, ,Новосибирск г , , ,Гоголя ул элем. улично-дорожн.сети,,д. 27, , , ,;0001707942036742;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0243180007012634;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9284000100263544;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 06:48:47;630124,РОССИЯ,54,Новосибирская область, ,Новосибирск г г.п., , ,Гусинобродское ш элем. улично-дорожн.сети,,д. 11/1, , , ,;0001690864044917;РР-03Ф;26.01.2023 12:00:00;ККТ перерегистрирована;0465380014002966;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300683976;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 09:01:03;652870,РОССИЯ,42,Кемеровская область - Кузбасс, ,Междуреченск г г.п., , ,Коммунистический пр-кт элем. улично-дорожн.сети,,д. 17, , , ,;0001686667005061;РР-03Ф;08.04.2023 12:00:00;ККТ перерегистрирована;0317850014003280;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300685008;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 09:00:24;652870,РОССИЯ,42,Кемеровская область - Кузбасс, ,Междуреченск г г.п., , ,Коммунистический пр-кт элем. улично-дорожн.сети,,д. 17, , , ,;0001686643021772;РР-03Ф;08.04.2023 12:00:00;ККТ перерегистрирована;0267710014002964;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684604;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 06:50:17;654210,РОССИЯ,42,Кемеровская область - Кузбасс,Новокузнецкий м.р-н.,Красулинское ,Ильинка с, ,Светлая ул,,зд. 7, , , ,;0001686613053430;РР-03Ф;;ККТ снята с регистрации;0510130014002997;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300795141;540201001;0;2;2;2;2;2;2;2;2;2;654210 Кемеровская область, Новокузнецкий р-н, село Ильинка, ул Светлая, д 7;2
9965;07.03.2018 08:59:12;654044,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г , , ,Новоселов ул ,, 31, , , ,;0001686596000636;РР-03Ф;;ККТ снята с регистрации НО;0642450014002992;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9286000100038201;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 08:58:18;654038,РОССИЯ,42,Кемеровская область - Кузбасс,Новокузнецкий м.р-н., ,Новокузнецк г,р-н Заводской,Тореза ул,,д. 22, , , ,;0001686553007305;РР-03Ф;28.03.2023 12:00:00;ККТ перерегистрирована;0489990014002220;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300683966;540201001;0;2;2;2;2;2;2;2;2;2;654038 Кемеровская область, г Новокузнецк, ул Тореза, д 22;2
